TotalBsmtSF,YearBuilt,BsmtFinType1,GrLivArea,GarageArea,LotArea,BsmtExposure,GarageFinish,2ndFlrSF
856,2003,GLQ,1710,548,8450,No,RFn,854.0
1262,1976,ALQ,1262,460,9600,Gd,RFn,0.0
920,2001,GLQ,1786,608,11250,Mn,RFn,866.0
756,1915,ALQ,1717,642,9550,No,Unf,
1145,2000,GLQ,2198,836,14260,Av,RFn,
796,1993,GLQ,1362,480,14115,No,Unf,566.0
1686,2004,GLQ,1694,636,10084,Av,RFn,0.0
1107,1973,ALQ,2090,484,10382,Mn,,983.0
952,1931,Unf,1774,468,6120,No,Unf,752.0
991,1939,GLQ,1077,205,7420,No,RFn,0.0
1040,1965,Rec,1040,384,11200,No,Unf,0.0
1175,2005,,2324,736,11924,No,Fin,1142.0
912,1962,ALQ,912,352,12968,No,,0.0
1494,2006,Unf,1494,840,10652,Av,RFn,0.0
1253,1960,BLQ,1253,352,10920,No,RFn,0.0
832,1929,Unf,854,576,6120,No,Unf,0.0
1004,1970,ALQ,1004,480,11241,No,Fin,0.0
0,1967,None,1296,516,10791,None,Unf,0.0
1114,2004,GLQ,1114,576,13695,No,Unf,
1029,1958,LwQ,1339,294,7560,No,Unf,0.0
1158,2005,Unf,2376,853,14215,Av,RFn,1218.0
637,1930,Unf,1108,280,7449,No,Unf,0.0
1777,2002,,1795,534,9742,No,RFn,0.0
1040,1976,GLQ,1060,572,4224,No,,0.0
1060,1968,Rec,1060,270,8246,Mn,Unf,0.0
1566,2007,Unf,1600,890,14230,No,RFn,0.0
900,1951,,900,576,7200,Mn,Unf,0.0
1704,2007,GLQ,1704,772,11478,No,,
1484,1957,BLQ,1600,319,16321,Gd,RFn,0.0
520,1927,Unf,520,240,6324,No,Unf,0.0
649,1920,Unf,1317,250,8500,No,Unf,668.0
1228,1966,Unf,1228,271,8544,No,Unf,0.0
1234,2007,Unf,1234,484,11049,Av,RFn,0.0
1398,1959,Rec,1700,447,10552,No,RFn,0.0
1561,2005,GLQ,1561,556,7313,No,Fin,0.0
1117,2004,Unf,2452,691,13418,Av,,1320.0
1097,1994,Unf,1097,672,10859,No,Unf,0.0
1297,1954,Rec,1297,498,8532,No,Fin,0.0
1057,1953,GLQ,1057,246,7922,No,Unf,0.0
0,1955,None,1152,0,6040,None,None,0.0
1088,1965,Rec,1324,440,8658,No,,0.0
1350,1959,BLQ,1328,308,16905,Gd,,
840,1983,ALQ,884,504,9180,Av,RFn,0.0
938,1975,LwQ,938,308,9200,Av,Unf,0.0
1150,1959,ALQ,1150,300,7945,No,RFn,0.0
1752,2005,GLQ,1752,576,7658,No,RFn,0.0
1434,2003,GLQ,2149,670,12822,No,RFn,631.0
1656,2006,GLQ,1656,826,11096,Av,,0.0
736,1920,Unf,1452,0,4456,No,None,716.0
955,1966,BLQ,955,386,7742,No,Unf,0.0
794,1997,GLQ,1470,388,13869,Av,Fin,676.0
816,1934,Unf,1176,528,6240,No,Unf,0.0
816,1963,LwQ,816,516,8472,Gd,Unf,0.0
1842,1981,GLQ,1842,894,50271,Gd,Fin,0.0
384,1955,ALQ,1360,572,7134,No,Unf,0.0
1425,1964,,1425,576,10175,No,RFn,0.0
970,1999,GLQ,1739,480,2645,No,Fin,756.0
860,2004,Unf,1720,565,11645,No,RFn,
1410,2006,Unf,2945,641,13682,Gd,Fin,1519.0
780,1972,ALQ,780,352,7200,Av,Unf,0.0
1158,2004,ALQ,1158,576,13072,No,Unf,0.0
530,1920,Unf,1111,288,7200,No,Unf,530.0
1370,2006,GLQ,1370,484,6442,Mn,RFn,0.0
576,1921,Unf,1710,480,10300,No,Unf,808.0
1057,1997,GLQ,2034,645,9375,No,RFn,977.0
1143,2004,Unf,2473,852,9591,Av,,1330.0
1947,1970,GLQ,2207,576,19900,Gd,RFn,0.0
1453,2003,GLQ,1479,558,10665,Av,RFn,0.0
747,1945,Unf,747,220,4608,No,Unf,0.0
1304,1953,BLQ,2287,667,15593,No,Fin,983.0
2223,1973,ALQ,2223,516,13651,Gd,Fin,0.0
845,1982,ALQ,845,360,7599,No,Unf,0.0
832,1998,Unf,1718,427,10141,No,Fin,833.0
1086,1954,ALQ,1086,490,10200,No,Unf,0.0
840,1915,Unf,1605,379,5790,No,Unf,765.0
462,1973,GLQ,988,297,1596,Gd,Unf,462.0
952,1956,ALQ,952,283,8475,No,Unf,0.0
672,1948,BLQ,1285,240,8635,No,Unf,213.0
1768,1968,Unf,1768,0,10778,No,None,0.0
440,1910,Unf,1230,440,10440,No,Unf,548.0
896,1968,Rec,2142,509,13000,No,Fin,960.0
1237,1998,GLQ,1337,405,4500,No,Fin,0.0
1563,2007,GLQ,1563,758,10206,No,RFn,0.0
1065,1960,Unf,1065,461,8892,No,Unf,0.0
384,1995,Unf,1474,400,8530,No,Fin,670.0
1288,1991,Unf,2417,462,16059,No,Unf,1116.0
684,2005,Unf,1560,400,11911,Av,Fin,876.0
612,2009,Unf,1224,528,3951,Av,RFn,612.0
1013,1915,Unf,1526,0,8470,No,None,0.0
990,1994,,990,0,8070,No,None,0.0
