GarageArea,LotArea,1stFlrSF,BsmtUnfSF,GrLivArea,LotFrontage,BsmtFinSF1,TotalBsmtSF,OpenPorchSF,2ndFlrSF
774,11694,1828,1774,1828,90.0,48,1822,108,0.0
308,6600,894,894,894,60.0,0,894,0,0.0
432,13360,964,163,964,80.0,713,876,0,0.0
857,13265,1689,350,1689,69.0,1218,1568,59,0.0
843,13704,1541,1541,1541,118.0,0,1541,81,0.0
400,7500,1221,811,1221,62.0,410,1221,113,0.0
440,8658,1324,445,1324,84.0,643,1088,138,0.0
484,2572,696,92,1416,24.0,604,696,44,720.0
297,1596,526,0,988,21.0,462,462,101,462.0
440,6000,869,360,1218,60.0,375,735,0,349.0
397,6931,760,746,1656,60.0,0,746,128,896.0
460,7577,1362,1342,1362,61.0,20,1362,28,0.0
442,7700,1051,756,1839,70.0,0,756,124,788.0
451,11310,1375,1367,1375,75.0,0,1367,30,0.0
528,12000,1122,172,1122,100.0,144,924,36,0.0
588,16157,1432,289,1432,69.0,680,1360,180,0.0
400,9018,728,728,1456,65.0,0,728,24,728.0
497,9947,1217,577,1217,69.0,611,1188,27,0.0
625,7200,1040,0,1040,60.0,0,0,0,0.0
528,3000,612,318,1224,30.0,294,612,234,612.0
468,6120,1022,952,1774,51.0,0,952,0,752.0
384,8405,961,229,1367,50.0,241,861,130,406.0
297,7200,803,803,1360,60.0,0,803,65,557.0
420,4426,848,151,848,69.0,697,848,0,0.0
749,12244,1482,611,2262,85.0,871,1482,0,780.0
396,8877,1220,0,1220,67.0,836,836,0,0.0
398,3072,1414,1375,1414,69.0,0,1375,20,0.0
396,9600,1134,416,2058,60.0,319,735,0,924.0
0,5586,1088,901,1198,60.0,0,901,98,110.0
499,5664,1659,343,1659,40.0,1158,1501,59,0.0
308,8263,1012,1012,1012,59.0,0,1012,22,0.0
672,15863,1687,301,3082,102.0,523,824,63,998.0
672,7630,1032,360,1812,76.0,0,360,0,0.0
650,7050,1057,319,1929,69.0,738,1057,235,872.0
576,10780,954,428,954,55.0,483,911,0,0.0
765,14601,1838,578,1838,85.0,1260,1838,68,0.0
924,14778,1640,568,1640,69.0,728,1296,0,0.0
672,7931,1148,0,1148,70.0,1148,1148,0,0.0
280,9758,950,251,950,61.0,412,950,0,0.0
471,9554,1065,397,1911,80.0,380,777,81,846.0
440,8737,915,765,1635,70.0,300,1065,38,720.0
440,11175,1316,1316,1316,103.0,0,1316,20,0.0
615,11717,1442,1442,1442,69.0,0,1442,0,0.0
500,12537,1078,344,1078,69.0,734,1078,0,0.0
544,6970,1120,108,1120,85.0,932,1040,0,0.0
527,7750,779,55,1419,69.0,353,408,0,640.0
240,3378,707,651,1389,60.0,0,651,0,682.0
280,9920,1063,412,1063,80.0,354,1056,0,0.0
874,11846,1792,225,1792,72.0,1567,1792,49,0.0
402,4500,1216,319,1216,32.0,897,1216,125,0.0
576,7200,998,596,1762,60.0,0,596,0,764.0
434,11796,847,847,1959,59.0,0,847,48,1112.0
546,11250,1208,441,1208,69.0,767,1208,42,0.0
315,11344,874,414,1524,78.0,460,874,0,650.0
240,5436,796,61,1154,40.0,735,796,96,358.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
273,5784,886,190,886,50.0,0,190,20,0.0
600,7032,943,0,943,69.0,943,943,0,0.0
603,9803,866,466,1768,75.0,400,866,108,902.0
779,14774,1422,1393,2599,108.0,0,1393,30,1177.0
275,10150,912,456,912,70.0,456,912,0,0.0
308,12702,882,0,882,70.0,0,0,45,0.0
511,4060,1337,1139,1337,34.0,266,1405,68,0.0
850,13891,2076,690,2076,107.0,1386,2076,229,0.0
